spol,tip_putnika,godine,vrsta_putovanja,klasa,udaljenost_leta,vrijeme_odlaska_dolaska,kasnjenje_polaska_u_minutama,kasnjenje_dolaska_u_minutama,zadovoljstvo_putnika
zensko,Nelojalan putnik,45,Poslovno putovanje,Ekonomska,861,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,62,Lično putovanje,Ekonomska,1476,5,0,47,Neutralan ili nezadovoljan
zensko,Lojalan putnik,70,Lično putovanje,Ekonomska,862,4,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,34,Poslovno putovanje,Ekonomska,668,1,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,29,Poslovno putovanje,Poslovna,1899,4,1,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,53,Poslovno putovanje,Poslovna,1741,4,0,0,Zadovoljan
zensko,Lojalan putnik,40,Lično putovanje,Ekonomska Plus,543,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,39,Lično putovanje,Ekonomska,2586,2,15,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,16,Poslovno putovanje,Ekonomska,925,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,40,Poslovno putovanje,Poslovna,3513,3,8,12,Zadovoljan
musko,Nelojalan putnik,25,Poslovno putovanje,Poslovna,534,0,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,32,Poslovno putovanje,Poslovna,2992,4,0,9,Neutralan ili nezadovoljan
musko,Nelojalan putnik,62,Poslovno putovanje,Ekonomska,758,2,11,12,Neutralan ili nezadovoljan
musko,Lojalan putnik,42,Lično putovanje,Ekonomska,515,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,12,Lično putovanje,Ekonomska,109,4,7,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,27,Poslovno putovanje,Poslovna,1565,4,0,0,Zadovoljan
musko,Lojalan putnik,43,Poslovno putovanje,Poslovna,3110,2,1,2,Zadovoljan
zensko,Lojalan putnik,40,Poslovno putovanje,Poslovna,432,3,1,0,Zadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Poslovna,3165,4,13,10,Neutralan ili nezadovoljan
zensko,Lojalan putnik,12,Lično putovanje,Ekonomska Plus,257,3,35,47,Neutralan ili nezadovoljan
zensko,Lojalan putnik,59,Poslovno putovanje,Poslovna,3792,3,0,0,Zadovoljan
zensko,Lojalan putnik,29,Poslovno putovanje,Poslovna,2166,2,0,0,Zadovoljan
musko,Lojalan putnik,12,Lično putovanje,Ekonomska,1203,5,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,38,Poslovno putovanje,Poslovna,353,3,4,4,Zadovoljan
musko,Lojalan putnik,48,Poslovno putovanje,Ekonomska,337,4,16,8,Neutralan ili nezadovoljan
zensko,Lojalan putnik,70,Poslovno putovanje,Poslovna,2475,5,37,33,Neutralan ili nezadovoljan
musko,Nelojalan putnik,40,Poslovno putovanje,Ekonomska,1410,3,1,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,46,Lično putovanje,Ekonomska,407,2,38,39,Neutralan ili nezadovoljan
zensko,Lojalan putnik,62,Poslovno putovanje,Ekonomska,224,4,0,5,Zadovoljan
musko,Lojalan putnik,30,Poslovno putovanje,Poslovna,2463,5,0,0,Zadovoljan
zensko,Lojalan putnik,48,Poslovno putovanje,Ekonomska,944,5,0,0,Zadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Poslovna,1531,1,3,0,Zadovoljan
zensko,Lojalan putnik,57,Poslovno putovanje,Poslovna,2419,2,112,77,Zadovoljan
musko,Lojalan putnik,39,Poslovno putovanje,Ekonomska,900,5,43,19,Neutralan ili nezadovoljan
musko,Lojalan putnik,45,Poslovno putovanje,Poslovna,337,0,0,0,Zadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,2432,4,0,1,Zadovoljan
musko,Lojalan putnik,45,Poslovno putovanje,Poslovna,2059,3,31,14,Zadovoljan
musko,Lojalan putnik,61,Poslovno putovanje,Ekonomska,447,2,0,0,Zadovoljan
zensko,Lojalan putnik,40,Poslovno putovanje,Ekonomska,460,5,0,0,Zadovoljan
musko,Lojalan putnik,37,Lično putovanje,Ekonomska,280,5,151,182,Neutralan ili nezadovoljan
zensko,Lojalan putnik,52,Poslovno putovanje,Poslovna,551,4,22,19,Zadovoljan
zensko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska,214,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,31,Lično putovanje,Ekonomska,356,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,51,Poslovno putovanje,Ekonomska,397,4,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,26,Poslovno putovanje,Poslovna,1431,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,67,Lično putovanje,Ekonomska,1947,5,188,183,Neutralan ili nezadovoljan
musko,Lojalan putnik,42,Poslovno putovanje,Poslovna,2334,5,0,0,Zadovoljan
musko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska,847,2,0,10,Neutralan ili nezadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Poslovna,3614,5,0,0,Zadovoljan
musko,Lojalan putnik,55,Poslovno putovanje,Poslovna,1591,1,6,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Ekonomska,563,4,64,57,Zadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Poslovna,447,4,9,0,Zadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,2022,3,0,0,Zadovoljan
musko,Nelojalan putnik,15,Poslovno putovanje,Poslovna,1180,0,11,0,Zadovoljan
musko,Lojalan putnik,70,Lično putovanje,Ekonomska,590,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,44,Poslovno putovanje,Poslovna,2531,2,0,0,Zadovoljan
zensko,Lojalan putnik,69,Lično putovanje,Ekonomska Plus,601,4,0,7,Neutralan ili nezadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Ekonomska,190,4,1,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,52,Poslovno putovanje,Ekonomska,1747,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,47,Poslovno putovanje,Ekonomska Plus,447,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,21,Lično putovanje,Ekonomska,1431,4,6,17,Neutralan ili nezadovoljan
musko,Lojalan putnik,42,Poslovno putovanje,Ekonomska Plus,120,2,0,0,Zadovoljan
musko,Lojalan putnik,34,Lično putovanje,Ekonomska,1041,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,43,Poslovno putovanje,Poslovna,612,4,11,8,Zadovoljan
zensko,Lojalan putnik,31,Lično putovanje,Ekonomska,867,1,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,36,Poslovno putovanje,Poslovna,226,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,34,Lično putovanje,Ekonomska Plus,867,5,29,33,Neutralan ili nezadovoljan
musko,Lojalan putnik,55,Poslovno putovanje,Poslovna,2389,1,0,0,Zadovoljan
musko,Lojalan putnik,68,Lično putovanje,Ekonomska,599,4,78,65,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,40,Poslovno putovanje,Poslovna,319,3,1,1,Neutralan ili nezadovoljan
zensko,Lojalan putnik,41,Poslovno putovanje,Poslovna,528,4,0,0,Zadovoljan
musko,Lojalan putnik,41,Poslovno putovanje,Poslovna,649,3,0,0,Zadovoljan
musko,Lojalan putnik,38,Poslovno putovanje,Poslovna,158,3,0,0,Zadovoljan
musko,Nelojalan putnik,44,Poslovno putovanje,Poslovna,1797,4,0,7,Zadovoljan
musko,Lojalan putnik,64,Poslovno putovanje,Poslovna,216,5,0,0,Zadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,2337,3,0,0,Zadovoljan
musko,Nelojalan putnik,22,Poslovno putovanje,Ekonomska,395,5,21,29,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,23,Poslovno putovanje,Ekonomska,967,5,0,13,Zadovoljan
zensko,Lojalan putnik,42,Poslovno putovanje,Poslovna,1617,3,63,60,Zadovoljan
musko,Nelojalan putnik,38,Poslovno putovanje,Ekonomska,826,1,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,38,Poslovno putovanje,Poslovna,371,2,4,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,54,Lično putovanje,Ekonomska Plus,888,5,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,27,Poslovno putovanje,Poslovna,1035,4,0,18,Zadovoljan
zensko,Lojalan putnik,17,Poslovno putovanje,Poslovna,1276,4,0,0,Zadovoljan
zensko,Lojalan putnik,32,Poslovno putovanje,Ekonomska,236,4,0,14,Neutralan ili nezadovoljan
musko,Lojalan putnik,45,Poslovno putovanje,Poslovna,480,1,71,54,Zadovoljan
musko,Nelojalan putnik,37,Poslovno putovanje,Poslovna,362,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,24,Poslovno putovanje,Ekonomska,951,2,24,9,Neutralan ili nezadovoljan
musko,Lojalan putnik,66,Lično putovanje,Ekonomska,442,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,44,Poslovno putovanje,Poslovna,486,5,50,37,Zadovoljan
zensko,Lojalan putnik,44,Lično putovanje,Ekonomska,1379,3,30,27,Neutralan ili nezadovoljan
musko,Lojalan putnik,36,Poslovno putovanje,Poslovna,842,1,21,15,Zadovoljan
zensko,Lojalan putnik,46,Lično putovanje,Ekonomska,1620,4,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,18,Poslovno putovanje,Poslovna,551,0,191,189,Zadovoljan
zensko,Lojalan putnik,21,Poslovno putovanje,Poslovna,403,1,0,36,Neutralan ili nezadovoljan
zensko,Lojalan putnik,40,Poslovno putovanje,Poslovna,2688,4,0,0,Zadovoljan
zensko,Nelojalan putnik,31,Poslovno putovanje,Ekonomska,990,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,68,Lično putovanje,Ekonomska,362,4,24,30,Neutralan ili nezadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Poslovna,1775,3,22,18,Zadovoljan
musko,Lojalan putnik,49,Poslovno putovanje,Poslovna,407,4,16,5,Zadovoljan
zensko,Nelojalan putnik,26,Poslovno putovanje,Ekonomska,319,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,11,Lično putovanje,Ekonomska,333,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,53,Poslovno putovanje,Poslovna,228,5,0,0,Zadovoljan
zensko,Lojalan putnik,9,Lično putovanje,Ekonomska,456,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,55,Poslovno putovanje,Poslovna,361,5,0,3,Zadovoljan
zensko,Lojalan putnik,37,Poslovno putovanje,Poslovna,2080,2,0,0,Zadovoljan
musko,Lojalan putnik,34,Poslovno putovanje,Ekonomska Plus,436,4,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,25,Poslovno putovanje,Poslovna,628,0,20,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,49,Poslovno putovanje,Poslovna,2484,3,0,0,Zadovoljan
musko,Lojalan putnik,39,Lično putovanje,Ekonomska,191,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Ekonomska,273,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,49,Poslovno putovanje,Poslovna,1598,5,15,5,Zadovoljan
zensko,Lojalan putnik,38,Poslovno putovanje,Ekonomska Plus,789,5,15,6,Zadovoljan
zensko,Nelojalan putnik,23,Poslovno putovanje,Ekonomska,281,0,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,41,Poslovno putovanje,Poslovna,2351,2,0,4,Zadovoljan
zensko,Lojalan putnik,42,Lično putovanje,Ekonomska,1204,5,9,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,38,Poslovno putovanje,Poslovna,214,3,6,4,Neutralan ili nezadovoljan
musko,Lojalan putnik,18,Lično putovanje,Ekonomska,641,5,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,22,Poslovno putovanje,Ekonomska,964,3,0,5,Neutralan ili nezadovoljan
zensko,Lojalan putnik,48,Lično putovanje,Ekonomska,84,2,0,3,Neutralan ili nezadovoljan
musko,Lojalan putnik,19,Lično putovanje,Ekonomska,1771,4,28,31,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska,326,5,0,4,Neutralan ili nezadovoljan
zensko,Lojalan putnik,59,Poslovno putovanje,Poslovna,1547,4,0,0,Zadovoljan
musko,Lojalan putnik,40,Poslovno putovanje,Poslovna,462,3,17,11,Zadovoljan
musko,Lojalan putnik,26,Lično putovanje,Ekonomska,1452,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,44,Poslovno putovanje,Poslovna,2955,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,26,Lično putovanje,Ekonomska Plus,762,3,63,44,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,28,Poslovno putovanje,Ekonomska,1119,3,0,15,Neutralan ili nezadovoljan
zensko,Lojalan putnik,53,Poslovno putovanje,Poslovna,237,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,50,Poslovno putovanje,Poslovna,1525,5,2,11,Zadovoljan
musko,Lojalan putnik,52,Lično putovanje,Ekonomska,1011,1,0,10,Neutralan ili nezadovoljan
zensko,Lojalan putnik,28,Lično putovanje,Ekonomska,1090,4,26,18,Neutralan ili nezadovoljan
musko,Lojalan putnik,57,Lično putovanje,Ekonomska,436,5,69,74,Neutralan ili nezadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Poslovna,2496,2,5,1,Zadovoljan
musko,Lojalan putnik,42,Poslovno putovanje,Ekonomska,679,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,46,Lično putovanje,Ekonomska Plus,500,3,0,0,Zadovoljan
zensko,Lojalan putnik,55,Lično putovanje,Ekonomska,386,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,46,Poslovno putovanje,Poslovna,2923,1,28,23,Zadovoljan
musko,Nelojalan putnik,51,Poslovno putovanje,Poslovna,472,4,18,12,Zadovoljan
zensko,Nelojalan putnik,41,Poslovno putovanje,Poslovna,223,2,18,22,Neutralan ili nezadovoljan
musko,Nelojalan putnik,17,Poslovno putovanje,Ekonomska,391,4,1,3,Neutralan ili nezadovoljan
musko,Lojalan putnik,60,Poslovno putovanje,Poslovna,700,3,0,0,Zadovoljan
musko,Lojalan putnik,51,Poslovno putovanje,Poslovna,1892,3,0,0,Zadovoljan
musko,Lojalan putnik,46,Poslovno putovanje,Ekonomska,612,5,0,0,Zadovoljan
musko,Nelojalan putnik,39,Poslovno putovanje,Poslovna,280,3,3,1,Neutralan ili nezadovoljan
zensko,Lojalan putnik,38,Poslovno putovanje,Ekonomska,331,5,0,0,Zadovoljan
zensko,Lojalan putnik,56,Poslovno putovanje,Poslovna,306,0,0,0,Zadovoljan
zensko,Nelojalan putnik,54,Poslovno putovanje,Poslovna,2454,4,34,38,Zadovoljan
musko,Lojalan putnik,60,Lično putovanje,Ekonomska,733,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,15,Lično putovanje,Ekonomska,1727,5,0,1,Neutralan ili nezadovoljan
musko,Nelojalan putnik,41,Poslovno putovanje,Poslovna,349,2,35,57,Neutralan ili nezadovoljan
zensko,Lojalan putnik,51,Poslovno putovanje,Poslovna,1765,1,0,0,Zadovoljan
zensko,Nelojalan putnik,39,Poslovno putovanje,Poslovna,140,5,100,97,Zadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,3749,5,0,0,Zadovoljan
musko,Lojalan putnik,42,Poslovno putovanje,Ekonomska,563,1,12,2,Zadovoljan
zensko,Lojalan putnik,27,Lično putovanje,Ekonomska,329,5,27,12,Neutralan ili nezadovoljan
musko,Nelojalan putnik,24,Poslovno putovanje,Ekonomska,907,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,51,Poslovno putovanje,Poslovna,1892,5,0,0,Zadovoljan
musko,Nelojalan putnik,22,Poslovno putovanje,Ekonomska,1071,3,3,34,Neutralan ili nezadovoljan
musko,Lojalan putnik,12,Lično putovanje,Ekonomska Plus,188,4,14,6,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,41,Poslovno putovanje,Ekonomska Plus,641,3,62,62,Neutralan ili nezadovoljan
zensko,Lojalan putnik,47,Poslovno putovanje,Poslovna,802,1,24,18,Neutralan ili nezadovoljan
zensko,Lojalan putnik,44,Poslovno putovanje,Poslovna,240,0,0,0,Zadovoljan
zensko,Lojalan putnik,20,Lično putovanje,Ekonomska,606,4,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,24,Poslovno putovanje,Ekonomska,1009,4,52,26,Neutralan ili nezadovoljan
musko,Lojalan putnik,25,Poslovno putovanje,Poslovna,2457,1,131,122,Zadovoljan
musko,Lojalan putnik,48,Poslovno putovanje,Poslovna,1014,5,29,47,Zadovoljan
zensko,Lojalan putnik,27,Poslovno putovanje,Poslovna,227,3,12,31,Zadovoljan
zensko,Nelojalan putnik,26,Poslovno putovanje,Ekonomska Plus,1154,1,7,18,Neutralan ili nezadovoljan
zensko,Lojalan putnik,52,Poslovno putovanje,Ekonomska,1249,1,0,0,Zadovoljan
musko,Lojalan putnik,40,Poslovno putovanje,Poslovna,3975,1,0,0,Zadovoljan
musko,Lojalan putnik,57,Poslovno putovanje,Poslovna,3488,3,62,65,Zadovoljan
musko,Lojalan putnik,25,Poslovno putovanje,Poslovna,1797,1,0,0,Zadovoljan
zensko,Lojalan putnik,29,Poslovno putovanje,Poslovna,2797,5,0,0,Zadovoljan
zensko,Nelojalan putnik,29,Poslovno putovanje,Poslovna,719,3,12,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,63,Lično putovanje,Ekonomska,1024,4,0,0,Zadovoljan
musko,Nelojalan putnik,23,Poslovno putovanje,Ekonomska,1005,3,1,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,24,Poslovno putovanje,Poslovna,2075,4,7,19,Zadovoljan
zensko,Lojalan putnik,33,Poslovno putovanje,Poslovna,1991,3,0,0,Zadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,345,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,67,Lično putovanje,Ekonomska,1184,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,23,Lično putovanje,Ekonomska,1121,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,59,Poslovno putovanje,Poslovna,3660,0,92,84,Zadovoljan
zensko,Lojalan putnik,35,Poslovno putovanje,Poslovna,1931,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,24,Lično putovanje,Ekonomska Plus,1192,4,5,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,49,Poslovno putovanje,Poslovna,1502,2,0,0,Zadovoljan
zensko,Lojalan putnik,35,Poslovno putovanje,Poslovna,1416,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,50,Lično putovanje,Ekonomska Plus,386,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,45,Poslovno putovanje,Poslovna,882,2,0,0,Zadovoljan
zensko,Lojalan putnik,51,Lično putovanje,Ekonomska,697,5,0,4,Neutralan ili nezadovoljan
zensko,Lojalan putnik,70,Lično putovanje,Ekonomska,646,1,5,20,Neutralan ili nezadovoljan
musko,Lojalan putnik,23,Lično putovanje,Ekonomska,1547,4,0,0,Zadovoljan
zensko,Lojalan putnik,31,Poslovno putovanje,Poslovna,1754,5,0,1,Zadovoljan
zensko,Lojalan putnik,40,Poslovno putovanje,Ekonomska Plus,150,5,0,0,Zadovoljan
zensko,Lojalan putnik,37,Lično putovanje,Ekonomska,1487,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,25,Poslovno putovanje,Poslovna,721,3,0,0,Zadovoljan
zensko,Lojalan putnik,61,Poslovno putovanje,Poslovna,2591,3,0,11,Zadovoljan
zensko,Nelojalan putnik,36,Poslovno putovanje,Ekonomska,427,0,10,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,22,Poslovno putovanje,Poslovna,397,0,0,0,Zadovoljan
zensko,Lojalan putnik,31,Lično putovanje,Ekonomska,562,5,39,28,Neutralan ili nezadovoljan
musko,Lojalan putnik,52,Poslovno putovanje,Poslovna,3309,3,0,0,Zadovoljan
musko,Lojalan putnik,42,Poslovno putovanje,Poslovna,508,4,7,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,24,Poslovno putovanje,Ekonomska Plus,358,3,0,0,Zadovoljan
zensko,Lojalan putnik,50,Lično putovanje,Ekonomska,2288,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,72,Poslovno putovanje,Ekonomska,1605,2,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,32,Poslovno putovanje,Poslovna,912,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,10,Lično putovanje,Ekonomska,787,4,1,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,61,Poslovno putovanje,Poslovna,2342,5,0,0,Zadovoljan
musko,Lojalan putnik,30,Lično putovanje,Ekonomska,251,5,0,0,Zadovoljan
musko,Lojalan putnik,34,Poslovno putovanje,Poslovna,2704,5,1,0,Zadovoljan
musko,Lojalan putnik,58,Lično putovanje,Ekonomska Plus,173,5,150,155,Neutralan ili nezadovoljan
zensko,Lojalan putnik,34,Poslovno putovanje,Poslovna,2801,1,1,0,Zadovoljan
musko,Lojalan putnik,32,Lično putovanje,Ekonomska,297,4,7,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,55,Poslovno putovanje,Ekonomska Plus,364,2,17,17,Neutralan ili nezadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,438,1,8,2,Zadovoljan
zensko,Lojalan putnik,57,Poslovno putovanje,Poslovna,1839,5,0,0,Zadovoljan
musko,Lojalan putnik,30,Poslovno putovanje,Poslovna,507,4,0,0,Zadovoljan
zensko,Lojalan putnik,55,Poslovno putovanje,Poslovna,3020,3,0,0,Zadovoljan
zensko,Lojalan putnik,43,Lično putovanje,Ekonomska,125,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,37,Lično putovanje,Ekonomska,1123,5,211,187,Neutralan ili nezadovoljan
musko,Nelojalan putnik,14,Poslovno putovanje,Ekonomska,1497,2,85,70,Neutralan ili nezadovoljan
zensko,Lojalan putnik,29,Poslovno putovanje,Poslovna,1053,5,27,35,Neutralan ili nezadovoljan
musko,Nelojalan putnik,23,Poslovno putovanje,Ekonomska,949,4,37,39,Zadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,3212,5,0,0,Zadovoljan
musko,Lojalan putnik,54,Poslovno putovanje,Poslovna,2092,1,1,2,Zadovoljan
zensko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska,515,2,6,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,34,Poslovno putovanje,Ekonomska,387,0,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,43,Lično putovanje,Ekonomska,484,4,13,16,Neutralan ili nezadovoljan
zensko,Lojalan putnik,65,Lično putovanje,Poslovna,484,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,12,Lično putovanje,Poslovna,1440,4,8,0,Zadovoljan
zensko,Lojalan putnik,37,Poslovno putovanje,Poslovna,1590,5,0,0,Zadovoljan
zensko,Lojalan putnik,75,Poslovno putovanje,Poslovna,2152,3,0,0,Zadovoljan
musko,Lojalan putnik,36,Poslovno putovanje,Poslovna,484,3,0,0,Zadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Poslovna,2063,1,0,0,Zadovoljan
musko,Lojalan putnik,40,Poslovno putovanje,Poslovna,3584,3,7,0,Zadovoljan
zensko,Lojalan putnik,41,Lično putovanje,Ekonomska,1005,4,0,0,Zadovoljan
zensko,Lojalan putnik,28,Poslovno putovanje,Poslovna,3572,2,31,30,Neutralan ili nezadovoljan
musko,Lojalan putnik,52,Lično putovanje,Ekonomska,874,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,39,Poslovno putovanje,Ekonomska,248,4,2,8,Neutralan ili nezadovoljan
zensko,Lojalan putnik,67,Lično putovanje,Ekonomska,645,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,41,Poslovno putovanje,Poslovna,3669,3,0,1,Zadovoljan
musko,Lojalan putnik,13,Lično putovanje,Ekonomska Plus,937,3,0,20,Neutralan ili nezadovoljan
musko,Lojalan putnik,51,Poslovno putovanje,Poslovna,2521,1,0,0,Zadovoljan
musko,Lojalan putnik,44,Poslovno putovanje,Poslovna,1514,4,24,6,Neutralan ili nezadovoljan
musko,Lojalan putnik,45,Poslovno putovanje,Ekonomska,689,2,0,0,Zadovoljan
zensko,Lojalan putnik,38,Lično putovanje,Ekonomska,315,3,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,40,Poslovno putovanje,Ekonomska,253,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,23,Poslovno putovanje,Poslovna,726,3,0,0,Zadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Poslovna,3727,4,48,41,Zadovoljan
zensko,Lojalan putnik,33,Lično putovanje,Ekonomska,365,5,13,8,Zadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Poslovna,2958,5,27,13,Neutralan ili nezadovoljan
musko,Lojalan putnik,56,Poslovno putovanje,Poslovna,151,2,0,7,Neutralan ili nezadovoljan
zensko,Lojalan putnik,40,Poslovno putovanje,Poslovna,1464,2,0,0,Zadovoljan
zensko,Lojalan putnik,33,Poslovno putovanje,Ekonomska,305,3,0,0,Zadovoljan
zensko,Lojalan putnik,55,Poslovno putovanje,Poslovna,1590,2,1,0,Zadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Poslovna,1635,1,3,0,Zadovoljan
zensko,Lojalan putnik,31,Lično putovanje,Ekonomska,475,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,11,Lično putovanje,Poslovna,2521,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,57,Lično putovanje,Poslovna,986,5,82,67,Neutralan ili nezadovoljan
musko,Lojalan putnik,52,Poslovno putovanje,Poslovna,2442,1,5,0,Zadovoljan
musko,Lojalan putnik,19,Lično putovanje,Ekonomska,371,2,1,7,Neutralan ili nezadovoljan
zensko,Lojalan putnik,58,Lično putovanje,Ekonomska,569,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,10,Lično putovanje,Ekonomska,371,1,0,9,Neutralan ili nezadovoljan
musko,Lojalan putnik,41,Poslovno putovanje,Ekonomska,1012,5,1,1,Neutralan ili nezadovoljan
zensko,Lojalan putnik,14,Poslovno putovanje,Poslovna,1012,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,51,Poslovno putovanje,Poslovna,1611,3,61,53,Neutralan ili nezadovoljan
musko,Lojalan putnik,53,Poslovno putovanje,Poslovna,721,5,0,4,Zadovoljan
zensko,Lojalan putnik,58,Lično putovanje,Ekonomska Plus,761,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,40,Lično putovanje,Ekonomska,946,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,55,Poslovno putovanje,Poslovna,2263,3,21,15,Zadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,297,4,5,0,Neutralan ili nezadovoljan
